80,0.77599,0.00557,3.4347,0.38292
73.54443,0.73473,0.00677,6.11362,0.51245
69.45863,0.72196,0.00453,10.34578,0.66929
65.37283,0.68439,0.00735,18.62638,0.9451
61.28703,0.62836,0.00937,32.21405,0.82459
57.20123,0.57683,0.02031,52.69991,1.74752
53.11542,0.5341,0.01361,86.77434,2.39953
49.02962,0.44454,0.01367,134.67013,2.28278
44.94382,0.40832,0.00857,192.47936,5.90638
40.85802,0.34731,0.00821,270.02981,6.70529
36.77222,0.25689,0.00849,343.52629,9.64824
32.68641,0.19149,0.00725,419.99166,14.0178
28.60061,0.12986,0.00472,474.07065,13.7646
24.51481,0.07787,0.00178,497.83225,21.59864
20.42901,0.02992,9.62E-04,466.56067,23.11341
16.34321,0.00581,1.73E-04,354.88712,20.80868
12.25741,0.01411,5.75E-04,239.68669,18.46285
8.1716,0.00789,2.75E-04,97.39048,6.43226
4.0858,0.00855,2.84E-04,9.8624,0.84662
0,0.01291,4.38E-04,2.92345,0.29524
